Player,Mat,Inns,NO,Runs,BF,HS,Ave,SR,100,50,0,4s,6s,Category
GJ Maxwell,9,9,3,400,266,201*,66.66,150.37,2,-,1,40,22,Batting
TM Head,6,6,-,329,258,137,54.83,127.51,2,1,1,37,13,Batting
MR Marsh,10,10,1,441,410,177*,49.00,107.56,2,1,2,43,21,Batting
DA Warner,11,11,-,535,494,163,48.63,108.29,2,2,-,50,24,Batting
M Labuschagne,11,10,1,362,512,71,40.22,70.70,-,3,-,31,2,Batting
SPD Smith,10,10,1,302,373,71,33.55,80.96,-,2,1,30,2,Batting
PJ Cummins,11,8,4,128,186,37,32.00,68.81,-,-,-,13,5,Batting
MP Stoinis,6,5,1,87,77,35,21.75,112.98,-,-,-,8,4,Batting
C Green,3,3,-,63,83,47,21.00,75.90,-,-,-,6,0,Batting
JP Inglis,10,8,-,159,168,58,19.87,94.64,-,1,1,17,3,Batting
A Zampa,11,6,3,48,60,29,16.00,80.00,-,-,1,5,0,Batting
MA Starc,10,8,1,87,151,28,12.42,57.61,-,-,1,7,1,Batting
JR Hazlewood,11,5,3,4,5,2,2.00,80.00,-,-,1,0,0,Batting
AT Carey,1,1,-,-,2,-,0.00,0.00,-,-,1,0,0,Batting
SA Abbott,1,-,-,-,0,-,0.00,0.00,-,-,-,0,0,Batting
