Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,
Rashid Khan,24,23,212.0,7,911,35,5/19,26.02,4.29,36.3,0,1,
Fazalhaq Farooqi,28,28,192.5,12,1165,33,4/34,35.30,6.04,35.0,3,0,
Mohammad Nabi,33,30,226.1,9,957,28,5/17,34.17,4.23,48.4,0,1,
Azmatullah Omarzai,28,27,135.2,6,775,22,4/37,35.22,5.72,36.9,1,0,
Mujeeb Ur Rahman,20,20,179.5,8,907,22,3/33,41.22,5.04,49.0,0,0,
AM Ghazanfar,10,10,68.2,5,280,20,6/26,14.00,4.09,20.5,0,2,
Nangeyalia Kharote,7,7,49.2,4,182,11,4/26,16.54,3.68,26.9,2,0,
Fareed Ahmad,8,8,51.1,2,334,10,2/43,33.40,6.52,30.7,0,0,
Gulbadin Naib,11,9,51.0,1,339,9,4/60,37.66,6.64,34.0,1,0,
Noor Ahmad,9,9,81.0,1,483,9,3/49,53.66,5.96,54.0,0,0,
Naveen-ul-Haq,8,8,53.4,1,352,8,2/47,44.00,6.55,40.2,0,0,
Naveed Zadran,3,3,11.0,1,79,3,3/13,26.33,7.18,22.0,0,0,
Qais Ahmad,2,2,14.0,0,101,3,2/46,33.66,7.21,28.0,0,0,
Abdul Rahman,3,3,17.2,0,133,1,1/83,133.00,7.67,104.0,0,0,
Rahmat Shah,31,2,2.1,0,18,1,1/6,18.00,8.30,13.0,0,0,
Bilal Sami,1,1,3.0,0,25,0,-,-,8.33,-,0,0,
Karim Janat,2,2,9.0,0,59,0,-,-,6.55,-,0,0,
Mohammad Saleem,2,2,10.2,0,70,0,-,-,6.77,-,0,0,
Rahmanullah Gurbaz,31,1,0.0,0,1,0,-,-,-,-,0,0,
Sharafuddin Ashraf,1,1,6.0,0,47,0,-,-,7.83,-,0,0,
Zia-ur-Rehman,1,1,3.3,0,22,0,-,-,6.28,-,0,0,
Abdul Malik (1),3,-,-,-,-,-,-,-,-,-,-,-,
Hashmatullah Shahidi,33,-,-,-,-,-,-,-,-,-,-,-,
Ibrahim Zadran,25,-,-,-,-,-,-,-,-,-,-,-,
Ikram Alikhil,18,-,-,-,-,-,-,-,-,-,-,-,
Najibullah Zadran,10,-,-,-,-,-,-,-,-,-,-,-,
Riaz Hassan,4,-,-,-,-,-,-,-,-,-,-,-,
Sediqullah Atal,5,-,-,-,-,-,-,-,-,-,-,-,
Shahidullah,2,-,-,-,-,-,-,-,-,-,-,-,
