Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,
Rashid Khan,2015-2024,111,104,936.5,35,3935,198,7/18,19.87,4.20,28.3,6,5,
Mohammad Nabi,2015-2024,125,117,942.5,36,4063,130,5/17,31.25,4.30,43.5,3,1,
Mujeeb Ur Rahman,2017-2023,75,74,661.2,39,2863,101,5/50,28.34,4.32,39.2,3,1,
Dawlat Zadran,2015-2019,58,56,445.4,31,2389,83,4/22,28.78,5.36,32.2,3,0,
Gulbadin Naib,2015-2024,72,67,427.1,11,2351,65,6/43,36.16,5.50,39.4,2,1,
Fazalhaq Farooqi,2022-2024,39,39,275.0,17,1589,50,4/34,31.78,5.77,33.0,5,0,
Aftab Alam,2015-2019,19,19,150.1,9,733,30,4/25,24.43,4.88,30.0,1,0,
Azmatullah Omarzai,2021-2024,36,35,180.4,6,972,30,4/18,32.40,5.38,36.1,2,0,
Amir Hamza,2015-2017,20,20,173.4,15,700,28,4/17,25.00,4.03,37.2,1,0,
Fareed Ahmad,2017-2024,18,17,119.1,6,633,25,3/56,25.32,5.31,28.6,0,0,
Naveen-ul-Haq,2016-2023,15,15,115.1,2,708,22,4/42,32.18,6.14,31.4,1,0,
AM Ghazanfar,2024-2024,11,11,70.2,5,285,21,6/26,13.57,4.05,20.0,0,2,
Mirwais Ashraf,2015-2016,18,17,127.3,9,493,20,3/20,24.65,3.86,38.2,0,0,
Shapoor Zadran,2015-2019,14,14,101.0,8,556,14,4/38,39.71,5.50,43.2,1,0,
Hamid Hassan,2015-2019,14,13,93.0,6,459,13,3/45,35.30,4.93,42.9,0,0,
Nangeyalia Kharote,2024-2024,7,7,49.2,4,182,11,4/26,16.54,3.68,26.9,2,0,
Noor Ahmad,2022-2024,10,10,85.0,1,515,9,3/49,57.22,6.05,56.6,0,0,
Rahmat Shah,2016-2024,112,21,66.1,1,383,9,2/30,42.55,5.78,44.1,0,0,
Sharafuddin Ashraf,2018-2024,15,15,105.0,4,459,8,2/15,57.37,4.37,78.7,0,0,
Yamin Ahmadzai,2015-2022,9,8,56.4,4,304,7,2/34,43.42,5.36,48.5,0,0,
Qais Ahmad,2022-2024,3,3,21.4,0,133,6,3/32,22.16,6.13,21.6,0,0,
Samiullah Shinwari,2015-2019,40,24,80.3,0,486,4,2/23,121.50,6.03,120.7,0,0,
Naveed Zadran,2024-2024,4,3,11.0,1,79,3,3/13,26.33,7.18,22.0,0,0,
Javed Ahmadi,2015-2021,28,11,35.2,0,175,2,1/10,87.50,4.95,106.0,0,0,
Rokhan Barakzai,2015-2015,1,1,10.0,1,45,2,2/45,22.50,4.50,30.0,0,0,
Zahir Khan,2019-2019,1,1,10.0,0,55,2,2/55,27.50,5.50,30.0,0,0,
Abdul Rahman,2023-2023,3,3,17.2,0,133,1,1/83,133.00,7.67,104.0,0,0,
Asghar Afghan,2015-2021,76,2,1.5,0,7,1,1/1,7.00,3.81,11.0,0,0,
Nawroz Mangal,2015-2016,15,2,2.0,0,23,1,1/14,23.00,11.50,12.0,0,0,
Sayed Shirzad,2019-2019,2,1,8.0,0,56,1,1/56,56.00,7.00,48.0,0,0,
Bilal Sami,2024-2024,1,1,3.0,0,25,0,-,-,8.33,-,0,0,
Hashmatullah Shahidi,2016-2024,81,1,1.0,0,8,0,-,-,8.00,-,0,0,
Karim Janat,2017-2023,3,3,13.0,0,90,0,-,-,6.92,-,0,0,
Karim Sadiq,2016-2016,1,1,5.0,0,27,0,-,-,5.40,-,0,0,
Mohammad Saleem,2023-2023,2,2,10.2,0,70,0,-,-,6.77,-,0,0,
Najibullah Zadran,2015-2023,82,1,2.0,0,21,0,-,-,10.50,-,0,0,
Rahmanullah Gurbaz,2021-2024,46,1,0.0,0,1,0,-,-,-,-,0,0,
Shahidullah,2022-2023,3,1,3.0,0,16,0,-,-,5.33,-,0,0,
Zia-ur-Rehman,2023-2023,1,1,3.3,0,22,0,-,-,6.28,-,0,0,
Abdul Malik (1),2024-2024,4,-,-,-,-,-,-,-,-,-,-,-,
Afsar Zazai,2015-2017,9,-,-,-,-,-,-,-,-,-,-,-,
Hazratullah Zazai,2018-2019,16,-,-,-,-,-,-,-,-,-,-,-,
Ibrahim Zadran,2019-2024,33,-,-,-,-,-,-,-,-,-,-,-,
Ihsanullah,2017-2018,16,-,-,-,-,-,-,-,-,-,-,-,
Ikram Alikhil,2019-2024,31,-,-,-,-,-,-,-,-,-,-,-,
Mohammad Shahzad,2015-2019,55,-,-,-,-,-,-,-,-,-,-,-,
Najeeb Tarakai,2017-2017,1,-,-,-,-,-,-,-,-,-,-,-,
Nasir Jamal,2015-2018,12,-,-,-,-,-,-,-,-,-,-,-,
Noor Ali Zadran,2015-2019,29,-,-,-,-,-,-,-,-,-,-,-,
Riaz Hassan,2022-2024,7,-,-,-,-,-,-,-,-,-,-,-,
